Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
28001579,2014-01-01 00:00:00,Rural,Féminin,"Education, Santé et services administratifs",Nord Est,9325
28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Nord Est,5220
28001579,2014-01-01 00:00:00,Rural,Féminin,Non Declaré,Nord Est,105
28001579,2014-01-01 00:00:00,Communal,Masculin,Population occupée agée de 15 ans et plus,Nord Est,789056
28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Nord Est,30793
28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Nord Est,17221
28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Nord Est,130202
28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Nord Est,111617
28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Nord Est,132215
28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Nord Est,60992
28001579,2014-01-01 00:00:00,Communal,Masculin,"Education, Santé et services administratifs",Nord Est,185536
28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Nord Est,119564
28001579,2014-01-01 00:00:00,Communal,Masculin,Non Declaré,Nord Est,916
28001579,2014-01-01 00:00:00,Communal,Féminin,Population occupée agée de 15 ans et plus,Nord Est,384513
28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Nord Est,5805
28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Nord Est,3373
28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Nord Est,107639
28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Nord Est,2949
28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Nord Est,38065
28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Nord Est,6770
28001579,2014-01-01 00:00:00,Communal,Féminin,"Education, Santé et services administratifs",Nord Est,149643
28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Nord Est,69546
28001579,2014-01-01 00:00:00,Communal,Féminin,Non Declaré,Nord Est,723
28001579,2014-01-01 00:00:00,Rural,Masculin,Population occupée agée de 15 ans et plus,Nord Est,182060
28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Nord Est,50601
28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Nord Est,3081
28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Nord Est,28529
28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Nord Est,37941
28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Nord Est,17739
