,Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
0,28001579,2014-01-01 00:00:00,Rural,Féminin,Education Santé et services administratifs,Nord Est,9325
1,28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Nord Est,5220
4,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Nord Est,30793
5,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Nord Est,17221
6,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Nord Est,130202
7,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Nord Est,111617
8,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Nord Est,132215
9,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Nord Est,60992
10,28001579,2014-01-01 00:00:00,Communal,Masculin,Education Santé et services administratifs,Nord Est,185536
11,28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Nord Est,119564
14,28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Nord Est,5805
15,28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Nord Est,3373
16,28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Nord Est,107639
17,28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Nord Est,2949
18,28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Nord Est,38065
19,28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Nord Est,6770
20,28001579,2014-01-01 00:00:00,Communal,Féminin,Education Santé et services administratifs,Nord Est,149643
21,28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Nord Est,69546
24,28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Nord Est,50601
25,28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Nord Est,3081
26,28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Nord Est,28529
27,28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Nord Est,37941
28,28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Nord Est,17739
29,28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Nord Est,9800
30,28001579,2014-01-01 00:00:00,Rural,Masculin,Education Santé et services administratifs,Nord Est,20859
31,28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Nord Est,13367
34,28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Nord Est,14057
35,28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Nord Est,246
36,28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Nord Est,32369
37,28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Nord Est,567
38,28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Nord Est,5394
39,28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Nord Est,416
41,28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Nord Ouest,6337
42,28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Nord Ouest,1886
43,28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Nord Ouest,9721
44,28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Nord Ouest,14872
45,28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Nord Ouest,16620
46,28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Nord Ouest,6163
