,Régions,Milieu,Sexe,raison,POPULATION
0,Tunisie,Communal,Masculin,Emploi,63996
1,Tunisie,Communal,Féminin,Emploi,30139
2,Tunisie,Rural,Masculin,Emploi,15831
3,Tunisie,Rural,Féminin,Emploi,8258
4,Nord Est,Communal,Masculin,Emploi,22067
5,Nord Est,Communal,Féminin,Emploi,10478
6,Nord Est,Rural,Masculin,Emploi,1708
7,Nord Est,Rural,Féminin,Emploi,911
8,Gouvernorat de Tunis,Communal,Masculin,Emploi,10102
9,Gouvernorat de Tunis,Communal,Féminin,Emploi,4922
10,Gouvernorat de L'Ariana,Communal,Masculin,Emploi,1874
11,Gouvernorat de L'Ariana,Communal,Féminin,Emploi,841
12,Gouvernorat de L'Ariana,Rural,Masculin,Emploi,34
13,Gouvernorat de L'Ariana,Rural,Féminin,Emploi,39
14,Gouvernorat de Ben Arous,Communal,Masculin,Emploi,2289
15,Gouvernorat de Ben Arous,Communal,Féminin,Emploi,1056
16,Gouvernorat de Ben Arous,Rural,Masculin,Emploi,37
17,Gouvernorat de Ben Arous,Rural,Féminin,Emploi,17
18,Gouvernorat de Manouba,Communal,Masculin,Emploi,1031
19,Gouvernorat de Manouba,Communal,Féminin,Emploi,440
20,Gouvernorat de Manouba,Rural,Masculin,Emploi,96
21,Gouvernorat de Manouba,Rural,Féminin,Emploi,33
22,Gouvernorat de Nabeul,Communal,Masculin,Emploi,3449
23,Gouvernorat de Nabeul,Communal,Féminin,Emploi,1525
24,Gouvernorat de Nabeul,Rural,Masculin,Emploi,381
25,Gouvernorat de Nabeul,Rural,Féminin,Emploi,168
26,Gouvernorat de Zaghouan,Communal,Masculin,Emploi,930
27,Gouvernorat de Zaghouan,Communal,Féminin,Emploi,412
28,Gouvernorat de Zaghouan,Rural,Masculin,Emploi,430
29,Gouvernorat de Zaghouan,Rural,Féminin,Emploi,218
30,Gouvernorat de Bizerte,Communal,Masculin,Emploi,2392
31,Gouvernorat de Bizerte,Communal,Féminin,Emploi,1282
32,Gouvernorat de Bizerte,Rural,Masculin,Emploi,730
33,Gouvernorat de Bizerte,Rural,Féminin,Emploi,436
34,Nord Ouest,Communal,Masculin,Emploi,8522
35,Nord Ouest,Communal,Féminin,Emploi,4576
36,Nord Ouest,Rural,Masculin,Emploi,3522
37,Nord Ouest,Rural,Féminin,Emploi,2163
38,Gouvernorat de Bèja,Communal,Masculin,Emploi,1727
39,Gouvernorat de Bèja,Communal,Féminin,Emploi,895
40,Gouvernorat de Bèja,Rural,Masculin,Emploi,676
41,Gouvernorat de Bèja,Rural,Féminin,Emploi,414
42,Gouvernorat de Jendouba,Communal,Masculin,Emploi,2972
43,Gouvernorat de Jendouba,Communal,Féminin,Emploi,1652
44,Gouvernorat de Jendouba,Rural,Masculin,Emploi,1237
45,Gouvernorat de Jendouba,Rural,Féminin,Emploi,789
46,Gouvernorat du Kef,Communal,Masculin,Emploi,2108
