Indicateurs: Clé,Date,Milieu,Sexe,trancheAge,Regions,FaitsValeur
28007659,2014-01-01 00:00:00,Rural,Féminin,45-49 ans,Nord Est,456
28007659,2014-01-01 00:00:00,Rural,Féminin,50-59 ans,Nord Est,394
28007659,2014-01-01 00:00:00,Rural,Féminin,60+ ans,Nord Est,100
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Nord Est,7699
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Nord Est,22768
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Nord Est,26160
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Nord Est,15028
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Nord Est,7242
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Nord Est,4501
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Nord Est,3220
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Nord Est,4098
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Nord Est,1237
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Nord Est,3995
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Nord Est,16570
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Nord Est,27951
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Nord Est,18072
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Nord Est,8692
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Nord Est,4405
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Nord Est,2635
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Nord Est,2160
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Nord Est,538
28007659,2014-01-01 00:00:00,Rural,Masculin,15-19 ans,Nord Est,2980
28007659,2014-01-01 00:00:00,Rural,Masculin,20-24 ans,Nord Est,5211
28007659,2014-01-01 00:00:00,Rural,Masculin,25-29 ans,Nord Est,4623
28007659,2014-01-01 00:00:00,Rural,Masculin,30-34 ans,Nord Est,2863
28007659,2014-01-01 00:00:00,Rural,Masculin,35-39 ans,Nord Est,1655
28007659,2014-01-01 00:00:00,Rural,Masculin,40-44 ans,Nord Est,1046
28007659,2014-01-01 00:00:00,Rural,Masculin,45-49 ans,Nord Est,865
28007659,2014-01-01 00:00:00,Rural,Masculin,50-59 ans,Nord Est,1233
28007659,2014-01-01 00:00:00,Rural,Masculin,60+ ans,Nord Est,386
28007659,2014-01-01 00:00:00,Rural,Féminin,15-19 ans,Nord Est,1556
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Nord Est,3251
28007659,2014-01-01 00:00:00,Rural,Féminin,25-29 ans,Nord Est,3869
28007659,2014-01-01 00:00:00,Rural,Féminin,30-34 ans,Nord Est,2249
28007659,2014-01-01 00:00:00,Rural,Féminin,35-39 ans,Nord Est,1221
28007659,2014-01-01 00:00:00,Rural,Féminin,40-44 ans,Nord Est,694
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Nord Ouest,1378
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Nord Ouest,4372
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Nord Ouest,4872
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Nord Ouest,2951
